antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_support,consequent_support
frozenset({'bbs'}),frozenset({'frontpage'}),0.1846348906647932,0.5049124001053833,0.08788256344954773,0.47598026100656976,0.942698695669239,1.0,-0.005341882339208029,0.944788073910368,-0.06937666458309201,0.14606567322121722,-0.05843842403843677,0.3250176658056514,0.1846348906647932,0.5049124001053833
frozenset({'business'}),frozenset({'frontpage'}),0.10831705014490207,0.5049124001053833,0.06955848774918767,0.642174871418075,1.2718540310834967,1.0,0.01486786598819001,1.3836021015535391,0.2397110443002327,0.12794225284571314,0.2772488572565929,0.389969174139971,0.10831705014490207,0.5049124001053833
frozenset({'living'}),frozenset({'frontpage'}),0.09291845964696584,0.5049124001053833,0.054371212786510935,0.5851497430444799,1.1589133935358882,1.0,0.007455530312066208,1.1934127835135933,0.1511691569365092,0.10004645807663562,0.1620669613946617,0.34641709521803626,0.09291845964696584,0.5049124001053833
frozenset({'local'}),frozenset({'frontpage'}),0.2082034337402301,0.5049124001053833,0.08142234565732853,0.3910710990430496,0.7745325703259155,1.0,-0.023702149782633186,0.8130466448818103,-0.2688169411928834,0.12889533797609687,-0.22994173371856963,0.27616571986427574,0.2082034337402301,0.5049124001053833
frozenset({'misc'}),frozenset({'frontpage'}),0.18631992623166768,0.5049124001053833,0.07528321770439976,0.4040534967301008,0.8002447486846598,1.0,-0.018792023436689537,0.8307584609996372,-0.23475803671350334,0.12222311332103618,-0.20371930825322848,0.276577519636153,0.18631992623166768,0.5049124001053833
frozenset({'news'}),frozenset({'frontpage'}),0.28174124001053835,0.5049124001053833,0.16682675419337842,0.592127564239933,1.1727332585144403,1.0,0.024572108490990646,1.2138295125828371,0.20506700686745186,0.2691505612007704,0.17616107564219766,0.4612674433476953,0.28174124001053835,0.5049124001053833
frozenset({'frontpage'}),frozenset({'news'}),0.5049124001053833,0.28174124001053835,0.16682675419337842,0.3304073224554576,1.1727332585144403,1.0,0.024572108490990646,1.0726801293935624,0.29750527805325455,0.2691505612007704,0.06775564066302972,0.4612674433476953,0.5049124001053833,0.28174124001053835
frozenset({'on-air'}),frozenset({'frontpage'}),0.26424596030561165,0.5049124001053833,0.08701534644770352,0.3292967898054774,0.6521859826313394,1.0,-0.0464057155883547,0.7381619654854902,-0.4202365361584037,0.12756173510029692,-0.35471623675746894,0.2508171505418773,0.26424596030561165,0.5049124001053833
frozenset({'sports'}),frozenset({'frontpage'}),0.17208219899885835,0.5049124001053833,0.0961924782646878,0.5589914519009951,1.1071058104026057,1.0,0.00930604215276204,1.122625858452683,0.1168521428876592,0.16562005339381483,0.10923127908500019,0.3747523271397443,0.17208219899885835,0.5049124001053833
frozenset({'tech'}),frozenset({'frontpage'}),0.16667032581013436,0.5049124001053833,0.07334570123825415,0.44006454587367455,0.8715661286627662,1.0,-0.010808212992886992,0.8841869116273557,-0.15026148774206993,0.1226030790685726,-0.13098258620396092,0.2926643782514876,0.16667032581013436,0.5049124001053833
frozenset({'local'}),frozenset({'misc'}),0.2082034337402301,0.18631992623166768,0.05323504873979099,0.2556876598212638,1.3723044281551786,1.0,0.014442600324131409,1.0931970758041423,0.34263689274760956,0.15598263107108395,0.08525185244900838,0.27070307695004747,0.2082034337402301,0.18631992623166768
frozenset({'misc'}),frozenset({'local'}),0.18631992623166768,0.2082034337402301,0.05323504873979099,0.2857184940788311,1.3723044281551786,1.0,0.014442600324131409,1.1085217238526064,0.33342184956678367,0.15598263107108395,0.09789769701169698,0.27070307695004747,0.18631992623166768,0.2082034337402301
frozenset({'local'}),frozenset({'news'}),0.2082034337402301,0.28174124001053835,0.051920501449020814,0.2493738960799304,0.8851167690984917,1.0,-0.006738992147403568,0.9568795386124027,-0.14083735059420657,0.1185334160354366,-0.04506362572046158,0.2168291233336474,0.2082034337402301,0.28174124001053835
frozenset({'on-air'}),frozenset({'misc'}),0.26424596030561165,0.18631992623166768,0.07315085184859928,0.2768286476886807,1.4857704878246663,1.0,0.02391656401744153,1.1251552915747274,0.44437205873965946,0.1938207149297577,0.11123379369221509,0.33471874851882333,0.26424596030561165,0.18631992623166768
frozenset({'misc'}),frozenset({'on-air'}),0.18631992623166768,0.26424596030561165,0.07315085184859928,0.392608849348966,1.4857704878246663,1.0,0.02391656401744153,1.2113348027967945,0.40181460488622456,0.1938207149297577,0.17446440266460883,0.33471874851882333,0.18631992623166768,0.26424596030561165
frozenset({'tech'}),frozenset({'news'}),0.16667032581013436,0.28174124001053835,0.05228275665232283,0.3136896529012712,1.1133962954430734,1.0,0.005324852385615142,1.046550970746383,0.12221717693441067,0.13198423200293746,0.04448036650635714,0.24962988810928244,0.16667032581013436,0.28174124001053835
